,model,dataset,exp,acc,f1,recall,precision,time
0,kan,ACSF1,0,0.3,0.2154761904761904,0.3,0.2066666666666666,320.3128750324249
1,kan,Adiac,0,0.5641026,0.5795787545787545,0.5641025641025641,0.7091880341880341,83.85799622535706
2,kan,ArrowHead,0,0.75,0.7520833333333333,0.75,0.8541666666666666,43.566575050354
3,kan,Beef,0,0.8333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,59.341726541519165
4,kan,BeetleFly,0,0.75,0.7666666666666667,0.75,0.875,119.15567898750304
5,kan,BirdChicken,0,0.75,0.7333333333333334,0.75,0.8333333333333333,123.59341502189636
6,kan,BME,0,1.0,1.0,1.0,1.0,31.0432813167572
7,kan,Car,0,0.75,0.7676767676767676,0.75,0.8472222222222223,88.82836508750916
8,kan,CBF,0,1.0,1.0,1.0,1.0,30.338542222976685
9,kan,Chinatown,0,0.75,0.7666666666666667,0.75,0.875,20.62198162078857
10,kan,ChlorineConcentration,0,0.8404255,0.8373206893231924,0.8404255319148937,0.8420330969267139,43.28296542167664
11,kan,CinCECGTorso,0,0.625,0.6333333333333333,0.625,0.6875,104.42883968353271
12,kan,Coffee,0,1.0,1.0,1.0,1.0,38.06735324859619
13,kan,Computers,0,0.59999996,0.6,0.6,0.6077294685990339,54.51112508773804
14,kan,CricketX,0,0.47435898,0.4553395950454774,0.4743589743589743,0.5064916564916565,139.9907741546631
15,kan,CricketY,0,0.30769232,0.3278513467427494,0.3076923076923077,0.4014702889702889,154.6776986122131
16,kan,CricketZ,0,0.35897437,0.3693308657198869,0.358974358974359,0.4548303548303548,137.04397439956665
17,kan,Crop,0,0.7111111,0.7115916616051436,0.7111111111111111,0.7165844285052818,147.8508367538452
18,kan,DiatomSizeReduction,0,1.0,1.0,1.0,1.0,91.05818724632265
19,kan,DistalPhalanxOutlineCorrect,0,0.6333334,0.642051282051282,0.6333333333333333,0.7572916666666667,107.59503269195557
20,kan,DistalPhalanxOutlineAgeGroup,0,0.875,0.873721590909091,0.875,0.8757936507936508,86.31012177467346
21,kan,DistalPhalanxTW,0,0.6875,0.6856107203714007,0.6875,0.7021669793621014,67.79884886741638
22,kan,Earthquakes,0,0.6923077,0.7162249515190693,0.6923076923076923,0.7494343891402715,185.75088572502136
23,kan,ECG200,0,0.90000004,0.9,0.9,0.9,77.47488713264465
24,kan,ECG5000,0,0.94,0.9207673509286411,0.94,0.9023996265172736,91.40603017807008
25,kan,ECGFiveDays,0,0.8,0.7809523809523808,0.8,0.85,85.55809617042542
26,kan,ElectricDevices,0,0.718925,0.7170363198581265,0.7189249720044792,0.7159622540130165,250.84469079971316
27,kan,EOGHorizontalSignal,0,0.5068493,0.5082342084547437,0.5068493150684932,0.5574200913242009,331.2666573524475
28,kan,EOGVerticalSignal,0,0.47945204,0.4886804935831612,0.4794520547945205,0.5354326039257545,366.08553743362427
29,kan,EthanolLevel,0,0.7920792,0.7919957421274042,0.7920792079207921,0.804236527331663,565.0980207920074
30,kan,FaceAll,0,0.8303572,0.8285378721520027,0.8303571428571429,0.8490171287046288,81.38544845581055
31,kan,FaceFour,0,0.6,0.68,0.6,0.8,69.72520399093628
32,kan,FacesUCR,0,0.65000004,0.6510119047619047,0.65,0.7533333333333333,29.622892379760746
33,kan,FiftyWords,0,0.5777778,0.5485233285233286,0.5777777777777777,0.5533333333333333,147.53840327262878
34,kan,Fish,0,0.5714286,0.5712492269635127,0.5714285714285714,0.6664285714285714,99.146005153656
35,kan,FordA,0,0.68793344,0.6878349716674228,0.6879334257975035,0.6922022671256833,178.8713939189911
36,kan,FordB,0,0.6854396,0.6856266012231272,0.6854395604395604,0.6869542954121064,148.26339316368103
37,kan,FreezerRegularTrain,0,0.9666667,0.9667789001122334,0.9666666666666668,0.9690476190476188,32.26121497154236
38,kan,FreezerSmallTrain,0,1.0,1.0,1.0,1.0,15.93834376335144
39,kan,GunPoint,0,0.90000004,0.9032967032967032,0.9,0.925,16.30652141571045
40,kan,GunPointAgeSpan,0,0.9259259,0.925925925925926,0.925925925925926,0.925925925925926,17.082361698150635
41,kan,GunPointMaleVersusFemale,0,1.0,1.0,1.0,1.0,22.4134624004364
42,kan,GunPointOldVersusYoung,0,1.0,1.0,1.0,1.0,10.99204683303833
43,kan,Ham,0,0.8181819,0.8181818181818182,0.8181818181818182,0.8181818181818182,24.232754945755005
44,kan,HandOutlines,0,0.895,0.8940421287800207,0.895,0.8954253472222223,315.8399488925934
45,kan,Haptics,0,0.4516129,0.4320625610948191,0.4516129032258064,0.4714285714285714,41.18017911911011
46,kan,Herring,0,0.6923077,0.6886446886446886,0.6923076923076923,0.7192307692307693,36.25907731056213
47,kan,HouseTwenty,0,0.375,0.3849206349206349,0.375,0.40625,79.32639908790588
48,kan,InlineSkate,0,0.3,0.2961038961038961,0.3,0.3,62.73871445655823
49,kan,InsectEPGRegularTrain,0,1.0,1.0,1.0,1.0,28.94792366027832
50,kan,InsectEPGSmallTrain,0,1.0,1.0,1.0,1.0,27.438498735427856
51,kan,InsectWingbeatSound,0,0.5681818,0.5369916699462154,0.5681818181818182,0.5554653679653679,33.980127811431885
52,kan,ItalyPowerDemand,0,1.0,1.0,1.0,1.0,23.67313766479492
53,kan,LargeKitchenAppliances,0,0.41333336,0.4127846790890269,0.4133333333333333,0.4181971994033705,111.14681839942932
54,kan,Lightning2,0,0.8333334,0.8285714285714286,0.8333333333333334,0.875,58.139678955078125
55,kan,Lightning7,0,0.5,0.4571428571428572,0.5,0.4666666666666667,20.630401134490967
56,kan,Mallat,0,0.8181819,0.8167388167388168,0.8181818181818182,0.8363636363636363,42.90734767913818
57,kan,Meat,0,0.9166667,0.9145021645021644,0.9166666666666666,0.9305555555555556,33.61092138290405
58,kan,MedicalImages,0,0.72727275,0.725713788841479,0.7272727272727273,0.736203995340208,21.349066972732544
59,kan,MiddlePhalanxOutlineCorrect,0,0.8000001,0.8,0.8,0.8,45.0528552532196
60,kan,MiddlePhalanxOutlineAgeGroup,0,0.6625,0.638021978021978,0.6625,0.6377450980392156,97.9693319797516
61,kan,MiddlePhalanxTW,0,0.5375,0.5768040293040293,0.5375,0.6346530920060331,130.16408562660217
62,kan,MixedShapesRegularTrain,0,0.77,0.7775237685318029,0.77,0.7950457875457876,354.48644399642944
63,kan,MixedShapesSmallTrain,0,0.75,0.7412087912087912,0.75,0.8071428571428572,167.67556023597717
64,kan,NonInvasiveFetalECGThorax1,0,0.8694445,0.8676609698228748,0.8694444444444445,0.8832071208112874,223.22323298454285
65,kan,NonInvasiveFetalECGThorax2,0,0.9111111,0.9110825958339568,0.9111111111111112,0.9220763110346444,231.7615430355072
66,kan,OliveOil,0,0.5,0.4333333333333333,0.5,0.3888888888888888,100.4585542678833
67,kan,OSULeaf,0,0.5,0.4960497835497836,0.5,0.6052696078431372,96.96233367919922
68,kan,PhalangesOutlinesCorrect,0,0.8,0.799556821779044,0.8,0.7991661955907293,93.63321328163148
69,kan,MoteStrain,0,1.0,1.0,1.0,1.0,16.47839617729187
70,kan,Phoneme,0,0.093023255,0.0833333333333333,0.0930232558139534,0.1007751937984496,42.24496722221375
71,kan,PowerCons,0,0.9166667,0.9160493827160492,0.9166666666666666,0.9169453734671126,21.34754228591919
72,kan,ProximalPhalanxOutlineCorrect,0,0.8166667,0.8155208333333334,0.8166666666666667,0.8148622981956315,39.02716183662415
73,kan,ProximalPhalanxOutlineAgeGroup,0,0.825,0.8232104916593503,0.825,0.8288825757575757,32.46475100517273
74,kan,ProximalPhalanxTW,0,0.825,0.8199974095053882,0.825,0.8228365384615385,31.027161598205566
75,kan,RefrigerationDevices,0,0.34666666,0.336919454440446,0.3466666666666667,0.3388215808062355,95.74795770645142
76,kan,Rock,0,0.25,0.3333333333333333,0.25,0.5,131.34935450553894
77,kan,ScreenType,0,0.32,0.32,0.32,0.3219753086419752,76.13045120239258
78,kan,SemgHandGenderCh2,0,0.9333334,0.9332591768631812,0.9333333333333332,0.9352678571428572,107.61873316764832
79,kan,SemgHandMovementCh2,0,0.46666667,0.4655793734225106,0.4666666666666667,0.4727394863669373,201.3790295124054
80,kan,SemgHandSubjectCh2,0,0.8777778,0.8774842674527962,0.8777777777777778,0.8793741570702355,147.60563039779663
81,kan,ShapeletSim,0,0.0,0.0,0.0,0.0,59.05845189094544
82,kan,ShapesAll,0,0.53333336,0.531739417989418,0.5333333333333333,0.6306944444444444,88.42611050605774
83,kan,SmallKitchenAppliances,0,0.4,0.4010704155876187,0.4,0.4124537731134433,68.08781218528748
84,kan,SmoothSubspace,0,0.9666667,0.9663641863278888,0.9666666666666668,0.9688888888888888,20.210887670516968
85,kan,SonyAIBORobotSurface1,0,1.0,1.0,1.0,1.0,25.11245059967041
86,kan,SonyAIBORobotSurface2,0,0.8333334,0.8285714285714286,0.8333333333333334,0.875,79.75569772720337
87,kan,StarLightCurves,0,0.91999996,0.9253656978601086,0.92,0.941439544807966,152.5388023853302
88,kan,Strawberry,0,0.9593496,0.9588550276113224,0.959349593495935,0.9618588778480376,47.31311249732971
89,kan,SwedishLeaf,0,0.78,0.7753850238243831,0.78,0.8156428571428571,35.72013330459595
90,kan,Symbols,0,0.2,0.1,0.2,0.0666666666666666,33.24265956878662
91,kan,SyntheticControl,0,0.9166667,0.9171679803373168,0.9166666666666666,0.9363636363636364,22.77169108390808
92,kan,ToeSegmentation1,0,0.625,0.6045454545454546,0.625,0.6041666666666666,26.9269962310791
93,kan,ToeSegmentation2,0,0.75,0.75,0.75,0.75,29.79704427719116
94,kan,Trace,0,0.90000004,0.9032967032967032,0.9,0.925,33.25521421432495
95,kan,TwoLeadECG,0,0.6,0.5666666666666667,0.6,0.8,26.04021430015564
96,kan,TwoPatterns,0,0.64,0.6424678908248722,0.64,0.6500591397849462,37.2428560256958
97,kan,UMD,0,0.875,0.8194444444444444,0.875,0.775,70.16410231590271
98,kan,UWaveGestureLibraryAll,0,0.8666667,0.8682058244305362,0.8666666666666667,0.8840090968161143,131.62398076057434
99,kan,UWaveGestureLibraryX,0,0.62222224,0.6070954813279822,0.6222222222222222,0.6042424834908495,68.72002816200256
100,kan,UWaveGestureLibraryY,0,0.6111111,0.6135537539857614,0.6111111111111112,0.6299787330761426,72.466228723526
101,kan,UWaveGestureLibraryZ,0,0.53888893,0.5286708435805798,0.5388888888888889,0.5275686566120078,61.31000471115112
102,kan,Wafer,0,1.0,1.0,1.0,1.0,34.274620056152344
103,kan,Wine,0,1.0,1.0,1.0,1.0,40.00427937507629
104,kan,WordSynonyms,0,0.4814815,0.4421413009648303,0.4814814814814814,0.4339506172839505,33.932631731033325
105,kan,Worms,0,0.35135135,0.3669123669123669,0.3513513513513513,0.467064467064467,52.09726548194885
106,kan,WormsTwoClass,0,0.6216216,0.6110458284371328,0.6216216216216216,0.6154954954954955,54.40225243568421
107,kan,Yoga,0,0.8000001,0.7988571428571429,0.8,0.799537037037037,33.45993995666504
108,kan,PigAirwayPressure,0,0.0952381,0.0952380952380952,0.0952380952380952,0.0952380952380952,70.38896894454956
109,kan,PigArtPressure,0,0.04761905,0.0476190476190476,0.0476190476190476,0.0476190476190476,71.83404970169067
110,kan,PigCVP,0,0.04761905,0.0317460317460317,0.0476190476190476,0.0238095238095238,67.9085910320282
111,kan,Plane,0,0.9047619,0.9047619047619048,0.9047619047619048,0.9047619047619048,16.098722219467163
112,kan,AllGestureWiimoteX,0,0.26666668,0.2588679838679839,0.2666666666666666,0.3041071428571428,28.7013201713562
113,kan,AllGestureWiimoteY,0,0.40000004,0.4163346620699562,0.4,0.4799675324675325,25.75495767593384
114,kan,AllGestureWiimoteZ,0,0.3166667,0.3115151515151515,0.3166666666666666,0.3239880952380952,23.60671615600586
115,kan,DodgerLoopDay,0,0.42857146,0.4238095238095238,0.4285714285714285,0.4523809523809524,18.31773567199707
116,kan,DodgerLoopGame,0,0.75,0.7666666666666667,0.75,0.875,18.632302045822144
117,kan,DodgerLoopWeekend,0,1.0,1.0,1.0,1.0,19.475155115127563
118,kan,Fungi,0,0.0,0.0,0.0,0.0,17.24355411529541
119,kan,GestureMidAirD1,0,0.5,0.4946145124716554,0.5,0.5484126984126984,28.18427419662476
120,kan,GestureMidAirD2,0,0.11904762,0.0873015873015872,0.119047619047619,0.0714285714285714,33.24672818183899
121,kan,GestureMidAirD3,0,0.3809524,0.3404761904761904,0.3809523809523809,0.4027777777777777,35.177433252334595
122,kan,GesturePebbleZ1,0,0.4814815,0.4685372240927796,0.4814814814814814,0.4641975308641975,20.126487016677856
123,kan,GesturePebbleZ2,0,0.40000004,0.4051948051948051,0.4,0.43,26.609601259231567
124,kan,MelbournePedestrian,0,0.82017547,0.8185630322381118,0.8201754385964912,0.827280392556586,20.03095960617065
125,kan,PickupGestureWiimoteZ,0,0.6,0.5666666666666667,0.6,0.6,25.534887075424194
126,kan,ShakeGestureWiimoteZ,0,0.5,0.5833333333333333,0.5,0.8,24.74909448623657
127,kan,PLAID,0,0.5092593,0.5190422322775263,0.5092592592592593,0.5613050015827794,751.92160820961