model,dataset,exp,mse,mae,r2,rmse,early_stopped_at,best_train_loss,time
fckan_reg,AppliancesEnergy,0,8.236009056295122,2.0561734381176175,0.303348147588995,2.8698447791291994,110,0.09621407712499301,1063.94917678833
fckan_reg,FloodModeling3,0,0.0005498628571861675,0.01647487201768419,-0.07035219723226249,0.02344915472221051,471,2.5463156362093287e-05,24768.937484025955
fckan_reg,BenzeneConcentration,0,48.31247046840221,5.1706552958098255,0.24788317649002312,6.950717262873106,229,4.254378414154052,103067.03599762917
fckan_reg,FloodModeling1,0,0.000275966978761315,0.011964908773356145,0.2231846180586844,0.01661225387361134,254,0.00012968813146774967,13176.50927400589
fckan_reg,HouseholdPowerConsumption2,0,1660.7700207954056,29.772938963623158,0.40925464945263124,40.752546187881386,451,56.345391035079956,48013.27150249481
fckan_reg,LiveFuelMoistureContent,0,1247.284338262751,24.427788051074703,0.2767201164902765,35.31691292090449,319,237.88587500832298,151677.1651148796
fckan_reg,BIDMC32SpO2,0,25.693370329837943,4.0455594366915575,-0.16912579450072673,5.0688628241290905,203,0.10860157537477455,111483.37947845459
fckan_reg,Covid3Month,0,0.0019463655819170148,0.03148788374802861,0.022566171654224476,0.0441176334578025,283,2.3848709679441528e-05,4463.88331413269
fckan_reg,HouseholdPowerConsumption1,0,19580.06448779073,105.06990893450144,0.9265753345523232,139.92878362863993,314,4187.961919148763,31110.896493196487
fckan_reg,BIDMC32HR,0,58.747539593854896,6.011710964773734,0.7028637246670992,7.664694357497558,328,0.2896835084619193,342679.25724363327
fckan_reg,FloodModeling2,0,0.0002731764725584456,0.008659349671050684,0.20258369652952768,0.01652805108167462,81,6.580164366217407e-05,3724.5394830703735
fckan_reg,IEEEPPG,0,1493.3592026834635,31.358604712658618,-0.5455916739807887,38.64400603823915,472,1.2708089474056448,114557.49359059334
fckan_reg,BIDMC32RR,0,11.196061311643746,2.619695304880146,0.0762688500850599,3.346051600266162,280,0.31055719213701827,290163.27070736885
fckan_reg,BeijingPM25Quality,0,7824.321440004831,59.17463018172516,0.3830021390937377,88.45519453375721,329,58.58178979398098,237933.2794623375
fckan_reg,NewsHeadlineSentiment,0,0.02066021078418935,0.11034586147537104,-0.02111777216569921,0.14373660210325465,51,0.01939358397151579,411352.89119911194
fckan_reg,NewsTitleSentiment,0,0.019363393731827553,0.10009231292219135,-0.015222625387540267,0.13915241187930433,51,0.017987130320142278,411875.947773695
fckan_reg,BeijingPM10Quality,0,13094.051496963384,74.89444053003037,0.2834404059322544,114.4292423157795,546,62.76013209161426,371904.28022933006
fckan_reg,PPGDalia,0,187.92626635483163,10.026316578389768,0.6245088152138856,13.708620147733019,410,5.686494350168636,934356.0933842659
fckan_reg,AustraliaRainfall,0,72.095333046603,2.221706442986784,0.03933294454463687,8.4908970696036,280,26.748023699877674,1541717.5170183182